Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.689628191272504,6.157105640441066,5.755577846503461,5.10074242958562,3.3613070512338545,5.044248800470846,6.633016958254424,1.4821904730255864,5.512190222247485,1.0648791934352597,1341.6302490234375,118.54827880859375,850.75244140625,470.4909362792969,76.77362823486328,564.2733154296875,110.41931915283203,714.3837280273438,979.7340698242188,417.4024658203125,603.2749633789062,28.122957229614258,531.4055786132812,310.6647644042969,94.9928970336914,608.2305297851562,320.2424011230469,995.9422607421875,1120.317626953125,609.287353515625,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.2392157018184662,0.25882354378700256,0.2352941334247589,0.24313727021217346,0.2352941334247589,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.2392157018184662,0.25882354378700256,0.2352941334247589,0.24313727021217346,0.2352941334247589,0.2549019753932953,0.2549019753932953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.614803687780775,10.87389482986124,1.0,0.01407533276692155,2.0000000596046448,0.0,28.4,36
L-1:2,7.666666895151138,1.178221553066859,2.432631430912082,1.7676098730542606,4.610177896801164,1.9436506895404029,1.045180039618056,1.1134556892302951,0.534965871402657,1.7483437841254144,350.53076171875,0.06698282063007355,556.043701171875,495.3122863769531,197.4962921142578,665.30126953125,307.8810729980469,777.5125122070312,629.5404052734375,568.3935546875,962.0697631835938,103.24446868896484,712.2300415039062,462.6229553222656,312.5057373046875,1096.0555419921875,282.40985107421875,717.5673828125,146.4868927001953,142.7884979248047,0.2549019753932953,0.24313727021217346,0.2352941334247589,0.24705883860588074,0.2549019753932953,0.2549019753932953,0.26274511218070984,0.25882354378700256,0.24313727021217346,0.250980406999588,0.2549019753932953,0.24313727021217346,0.2352941334247589,0.24705883860588074,0.2549019753932953,0.2549019753932953,0.26274511218070984,0.25882354378700256,0.24313727021217346,0.250980406999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3461350663266805,8.290501831997428,-1.0,0.018768939393939397,0.3333333432674408,0.0,29.73,32
L-1:3,0.47140453483998124,1.3597698913811964,1.4663111394878734,2.170658380751188,2.6980886292989052,1.3743685828319094,1.4097510973699532,3.4245518049964714,4.915255107395179,0.9680256368295476,471.6322021484375,48.59309005737305,324.7840576171875,262.005615234375,496.5331726074219,1138.134033203125,449.8924255371094,1250.8453369140625,655.6973266601562,502.4515686035156,1213.91748046875,29.70171356201172,752.2760009765625,691.6143188476562,153.8009490966797,740.0118408203125,209.8131561279297,527.1180419921875,521.7661743164062,388.08233642578125,0.24313727021217346,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.2549019753932953,0.2705882489681244,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.2666666805744171,0.24313727021217346,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.2549019753932953,0.2705882489681244,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77123627871985,6.090759776521813,-1.0,0.014650529265255294,3.6666667759418488,0.0,26.89,100
L-1:4,4.472136088279617,15.241871262524697,19.644296459306645,18.836446390395572,8.630822350594444,5.754225672033303,4.398572256856639,4.66550316160279,12.154074917920829,5.566026012309177,948.7200927734375,178.76177978515625,507.5308837890625,474.3319091796875,191.02696228027344,568.7274169921875,117.31165313720703,366.686767578125,256.2875671386719,257.3316345214844,1326.087158203125,129.13162231445312,768.6881713867188,530.1127319335938,296.7185974121094,989.0507202148438,375.40679931640625,809.2673950195312,481.20794677734375,559.2406616210938,0.2705882489681244,0.27450981736183167,0.2705882489681244,0.2666666805744171,0.2666666805744171,0.24313727021217346,0.26274511218070984,0.2705882489681244,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.27450981736183167,0.2705882489681244,0.2666666805744171,0.2666666805744171,0.24313727021217346,0.26274511218070984,0.2705882489681244,0.26274511218070984,0.26274511218070984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.453560147132695,6.443294716134527,1.0,0.0161506734006734,13.000000387430191,4.45,27.41,100
L-1:5,5.011098942133351,1.3434393360634398,1.5789700854619582,0.7497081840503362,1.6227728207675325,3.5901099784166144,1.4653803060553312,3.5202725448064394,3.9823527991869923,8.849170210416315,1570.3363037109375,95.16505432128906,715.3853149414062,495.35369873046875,217.693115234375,512.4756469726562,156.8921661376953,434.1346435546875,549.3997802734375,200.47015380859375,893.9797973632812,56.466773986816406,988.5419311523438,570.8470458984375,336.62823486328125,949.2146606445312,296.5325927734375,1023.7449951171875,485.329345703125,665.0701293945312,0.2666666805744171,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.2549019753932953,0.2705882489681244,0.26274511218070984,0.26274511218070984,0.2666666805744171,0.2666666805744171,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.2549019753932953,0.2705882489681244,0.26274511218070984,0.26274511218070984,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741249672957118,9.112998553430325,1.0,0.015293856534090907,2.3333334028720856,0.0,24.61,0
L-1:6,6.368324581305123,6.167324224846519,6.250207285806025,10.673947947993472,7.659423153715274,5.587685037939395,2.4114974001195666,4.517668573188631,7.863500344178462,5.548736578869206,547.4315185546875,7.365355014801025,814.8513793945312,435.2602844238281,465.2158508300781,1491.8382568359375,380.2597351074219,864.8915405273438,930.11767578125,612.6536865234375,1431.1649169921875,336.857177734375,931.3033447265625,835.6353149414062,370.0240478515625,1167.629638671875,312.45648193359375,696.1805419921875,502.7552795410156,454.31201171875,0.2666666805744171,0.24705883860588074,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.27450981736183167,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.2862745225429535,0.2666666805744171,0.24705883860588074,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.27450981736183167,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.2862745225429535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5338236380302845,9.426619177159088,-1.0,0.012463002114164906,8.33333358168602,0.0,23.58,0
L-1:7,3.7267800735663474,6.87847172838255,1.8907718760791035,0.49016641263799066,0.6370403773940692,4.678556421971242,0.5380622434680017,5.370852643555664,4.853856600249689,1.8405082852058963,138.01181030273438,69.83152770996094,1519.2779541015625,984.9165649414062,847.9974365234375,2178.35400390625,264.14752197265625,1638.572509765625,763.3715209960938,534.0972290039062,885.3031616210938,39.102203369140625,628.3685913085938,945.0833740234375,349.20416259765625,955.1854858398438,284.6017150878906,843.149169921875,535.7464599609375,627.4324340820312,0.2666666805744171,0.2352941334247589,0.24313727021217346,0.2549019753932953,0.2666666805744171,0.2705882489681244,0.29411765933036804,0.29019609093666077,0.27843138575553894,0.2705882489681244,0.2666666805744171,0.2352941334247589,0.24313727021217346,0.2549019753932953,0.2666666805744171,0.2705882489681244,0.29411765933036804,0.29019609093666077,0.27843138575553894,0.2705882489681244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.324555508823195,3.9536215350931614,-1.0,0.012820855614973262,1.666666716337204,0.0,21.92,0
L-1:8,6.262764929330245,6.319586275769295,4.606985841693712,5.817735484671537,10.017653885318996,8.006941671601659,8.595459850054915,3.493719712860632,4.588825833882321,1.7327727690251826,1306.5897216796875,253.23526000976562,848.1622314453125,730.9492797851562,424.54864501953125,1026.2060546875,99.48321533203125,638.9794921875,1124.9544677734375,529.8104248046875,1059.1705322265625,138.80752563476562,1521.8367919921875,1105.28955078125,20.249597549438477,1420.346923828125,447.52020263671875,1554.427490234375,723.3614501953125,953.3862915039062,0.2705882489681244,0.26274511218070984,0.24705883860588074,0.24705883860588074,0.250980406999588,0.25882354378700256,0.2666666805744171,0.2666666805744171,0.2549019753932953,0.26274511218070984,0.2705882489681244,0.26274511218070984,0.24705883860588074,0.24705883860588074,0.250980406999588,0.25882354378700256,0.2666666805744171,0.2666666805744171,0.2549019753932953,0.26274511218070984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.825468459601932,7.606545031171471,1.0,0.010183056243367527,2.3333334028720856,2.5,16.45,0
L-1:9,4.123105748495783,1.5542592541862672,2.6279828105404093,2.6030652802736705,3.826073921333966,2.0000000596046448,6.005493720047818,2.299992367092127,1.7304333119890132,0.932425503778411,1389.8826904296875,191.39598083496094,734.7855834960938,802.904541015625,192.5505828857422,656.36474609375,215.75588989257812,1094.6556396484375,734.4849853515625,587.9575805664062,772.8740844726562,44.29380416870117,933.1909790039062,700.7957153320312,287.017822265625,893.8710327148438,392.5104675292969,1193.99462890625,702.1577758789062,810.6738891601562,0.2666666805744171,0.2705882489681244,0.27843138575553894,0.250980406999588,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.2666666805744171,0.2705882489681244,0.27843138575553894,0.250980406999588,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571036983316953,4.30311560818915,1.0,0.011455849478390463,1.666666716337204,0.0,17.57,0
L-1:10,9.718253447702015,9.347657071696624,2.208728885624063,4.699145281934984,5.4773975663576016,7.071068022599721,5.331805054308359,2.6310669424492,3.15096478186597,2.786031513800853,981.514892578125,130.99789428710938,1024.3890380859375,455.8051452636719,182.53091430664062,984.169921875,269.8607177734375,694.5023193359375,604.0774536132812,338.09832763671875,841.3267822265625,52.45086669921875,1299.213623046875,776.9728393554688,406.5755310058594,1332.3106689453125,428.07196044921875,1482.4283447265625,573.8633422851562,393.38348388671875,0.27843138575553894,0.27450981736183167,0.26274511218070984,0.27843138575553894,0.25882354378700256,0.2705882489681244,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.2666666805744171,0.27843138575553894,0.27450981736183167,0.26274511218070984,0.27843138575553894,0.25882354378700256,0.2705882489681244,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.211102765835582,3.607316338916524,1.0,0.011516444306546695,5.333333492279053,0.0,21.21,0
L-1:11,2.3333334028720856,1.0103344886228978,10.042450099157504,3.9817968185392005,6.213117942917683,3.77123627871985,2.610619924015631,2.540937964173031,2.0863452887946456,1.2065748406777324,673.7930908203125,78.12921142578125,638.1018676757812,328.45758056640625,27.735353469848633,489.7058410644531,147.9276123046875,460.2984619140625,742.4281005859375,830.4805908203125,1505.886962890625,93.23152923583984,1141.703369140625,933.2371215820312,562.0598754882812,1692.592041015625,541.0027465820312,1363.274169921875,1092.96826171875,929.9427490234375,0.2666666805744171,0.2666666805744171,0.27843138575553894,0.27843138575553894,0.25882354378700256,0.250980406999588,0.2705882489681244,0.2705882489681244,0.26274511218070984,0.250980406999588,0.2666666805744171,0.2666666805744171,0.27843138575553894,0.27843138575553894,0.25882354378700256,0.250980406999588,0.2705882489681244,0.2705882489681244,0.26274511218070984,0.250980406999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428090696799623,15.318940368218012,1.0,0.012457802783535683,6.000000178813934,0.0,24.04,0
L-1:12,15.624055992643761,14.287872475273817,11.074234866728517,12.416391261593064,3.9485947471304157,18.049315698819353,22.07434137188286,5.845661017627211,2.8029395243833526,5.4081909098316325,1370.9708251953125,25.937484741210938,1137.4420166015625,546.1604614257812,201.22323608398438,843.1275024414062,280.72747802734375,1734.4774169921875,581.607666015625,918.27587890625,1652.891845703125,262.6537170410156,952.0191650390625,1204.3809814453125,237.53392028808594,1739.4906005859375,0.0,0.0,891.7466430664062,494.37420654296875,0.2549019753932953,0.2666666805744171,0.2666666805744171,0.24705883860588074,0.2549019753932953,0.2549019753932953,0.2352941334247589,0.24313727021217346,0.19607844948768616,0.250980406999588,0.2549019753932953,0.2666666805744171,0.2666666805744171,0.24705883860588074,0.2549019753932953,0.2549019753932953,0.2352941334247589,0.24313727021217346,0.19607844948768616,0.250980406999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333730697632,14.721232537034714,1.0,0.00809435261707989,0.3333333432674408,3.8,16.79,0
L-1:13,9.392668815660251,5.695675634007804,5.408923769625598,3.187670466515989,1.4526916053816135,6.411794878310151,2.8573415598533245,2.826677596823308,3.5209615612384746,5.505412385913299,1191.7740478515625,436.7016296386719,647.9668579101562,542.6417846679688,256.1243896484375,776.7803955078125,267.665283203125,814.58154296875,346.4539794921875,342.0144958496094,874.0760498046875,10.5383882522583,1497.26611328125,883.8411865234375,458.7796630859375,1033.382080078125,747.8615112304688,1512.9718017578125,1325.8184814453125,1392.5948486328125,0.25882354378700256,0.250980406999588,0.25882354378700256,0.24705883860588074,0.250980406999588,0.2549019753932953,0.2705882489681244,0.250980406999588,0.26274511218070984,0.2549019753932953,0.25882354378700256,0.250980406999588,0.25882354378700256,0.24705883860588074,0.250980406999588,0.2549019753932953,0.2705882489681244,0.250980406999588,0.26274511218070984,0.2549019753932953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.200358597364505,6.408967686873706,1.0,0.010576802507836991,1.666666716337204,0.0,19.28,0
L-1:14,4.5338236380302845,3.2941777359752615,2.3257962041539204,4.741267786171034,3.1077407825810623,2.2360680441398086,3.292178418373581,0.4648455838406036,1.4621499408685172,7.61572825794199,945.8404541015625,155.47520446777344,442.476318359375,237.74087524414062,272.5938720703125,733.1217041015625,283.7471008300781,1886.0435791015625,1113.6478271484375,478.04522705078125,975.8644409179688,217.99472045898438,1103.4500732421875,585.93017578125,598.8624877929688,1415.1304931640625,415.0466003417969,810.48486328125,867.3945922851562,454.55218505859375,0.2196078598499298,0.22745099663734436,0.2196078598499298,0.22745099663734436,0.2392157018184662,0.250980406999588,0.25882354378700256,0.26274511218070984,0.23137256503105164,0.2392157018184662,0.2196078598499298,0.22745099663734436,0.2196078598499298,0.22745099663734436,0.2392157018184662,0.250980406999588,0.25882354378700256,0.26274511218070984,0.23137256503105164,0.2392157018184662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8873013790808058,5.440728817355859,-1.0,0.012130681818181818,1.666666716337204,0.0,18.91,0
L-1:15,2.981424058853078,4.113883178826082,2.2631520431446592,0.3787960918480586,5.143839099790761,6.342099385822767,1.3585678572368147,3.5958842198407632,2.3048138793410007,3.0035758482072286,592.10498046875,106.96595001220703,626.4432373046875,446.974365234375,282.96697998046875,576.2250366210938,114.45508575439453,571.5479736328125,438.1230773925781,474.44940185546875,910.3666381835938,48.853641510009766,1688.766845703125,1534.8287353515625,0.0,0.0,527.97802734375,1149.53955078125,595.7488403320312,705.5381469726562,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.25882354378700256,0.2549019753932953,0.2352941334247589,0.250980406999588,0.2352941334247589,0.2666666805744171,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.25882354378700256,0.2549019753932953,0.2352941334247589,0.250980406999588,0.2352941334247589,0.2666666805744171,0.25882354378700256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453560147132695,5.687935902683198,1.0,0.012275950999355256,6.333333522081375,0.0,21.76,0
L-1:16,4.714045348399812,6.065526338162506,12.402784149121473,18.05791013624739,8.878189307214813,2.538591110943878,5.479030828566269,3.7300674536441263,5.267487807548336,15.458891990459836,1610.8251953125,748.6625366210938,1283.967041015625,930.0773315429688,41.185386657714844,894.2783813476562,132.47239685058594,893.9349975585938,381.5130310058594,580.4495849609375,1120.4373779296875,154.30435180664062,940.9744873046875,515.4579467773438,918.5692138671875,1511.41943359375,309.3402099609375,1847.630859375,534.9607543945312,856.9276123046875,0.2705882489681244,0.24313727021217346,0.2549019753932953,0.25882354378700256,0.24705883860588074,0.2549019753932953,0.24313727021217346,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.24313727021217346,0.2549019753932953,0.25882354378700256,0.24705883860588074,0.2549019753932953,0.24313727021217346,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6666668355464935,7.936457876877923,1.0,0.010601489028213167,3.000000089406967,3.05,15.46,0
L-1:17,2.2360680441398086,4.611971481768359,1.73784409928174,1.7155196094776637,5.158461510035584,8.800252783897346,9.808386100567658,19.82830364739518,11.721273313498697,4.860607131916424,1449.873779296875,54.50600814819336,671.213134765625,537.634521484375,562.86474609375,1965.1395263671875,154.36000061035156,1286.1650390625,1684.0975341796875,947.5409545898438,1792.4267578125,324.0091857910156,1302.76171875,939.2025756835938,437.78326416015625,2633.999267578125,196.90213012695312,1022.3216552734375,1282.45654296875,993.7271728515625,0.21568629145622253,0.23137256503105164,0.23137256503105164,0.24313727021217346,0.24313727021217346,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.22745099663734436,0.21568629145622253,0.23137256503105164,0.23137256503105164,0.24313727021217346,0.24313727021217346,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.22745099663734436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.200358597364505,12.726052029774943,-1.0,0.009516528925619834,11.333333671092987,0.0,16.45,0
L-1:18,4.216370339215464,3.1556840541324944,1.4805547030102173,1.8596980438699067,3.6986456211360648,5.754225672033306,4.296536823396052,1.4438219583701726,2.6279828105404146,6.390716837929522,1217.273193359375,44.74821472167969,1038.145263671875,800.3125,627.5377197265625,1171.4473876953125,295.7136535644531,801.3096313476562,433.2747497558594,565.6956787109375,1102.7811279296875,80.09654235839844,1112.52734375,1019.527587890625,206.25440979003906,767.3324584960938,295.4715881347656,901.0975952148438,1180.81396484375,677.605712890625,0.26274511218070984,0.2549019753932953,0.24705883860588074,0.23137256503105164,0.24705883860588074,0.26274511218070984,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.2549019753932953,0.24705883860588074,0.23137256503105164,0.24705883860588074,0.26274511218070984,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.875684901645581,7.189067245364247,1.0,0.010363636363636363,1.3333333730697632,0.0,15.96,0
L-1:19,4.013864979219926,4.5259238160459745,7.412441700493805,5.344728951695267,1.9736077798074507,3.073181577352241,2.0339149833477275,5.005759699635325,6.174962262499258,6.258451095791351,1435.23583984375,120.4168472290039,902.05029296875,559.6712036132812,428.8355407714844,2035.3966064453125,166.83172607421875,555.8733520507812,171.4539794921875,230.77674865722656,0.0,0.0,1201.0296630859375,1233.0675048828125,875.6246337890625,1954.39599609375,746.7720947265625,1807.2952880859375,1381.0211181640625,1092.4156494140625,0.24313727021217346,0.2392157018184662,0.20000001788139343,0.2392157018184662,0.250980406999588,0.21568629145622253,0.250980406999588,0.250980406999588,0.25882354378700256,0.2549019753932953,0.24313727021217346,0.2392157018184662,0.20000001788139343,0.2392157018184662,0.250980406999588,0.21568629145622253,0.250980406999588,0.250980406999588,0.25882354378700256,0.2549019753932953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737556942374161,9.883763861544553,1.0,0.009939894815927873,2.6666667461395264,0.0,15.12,0
L-1:20,9.104333793828724,17.421125034034556,8.074072833703925,9.902600072249633,21.076223297498483,18.24828813473601,11.148819108130722,4.584785103660093,1.8172786271366839,2.0149931658788507,1777.4857177734375,390.7986755371094,1220.4228515625,916.861572265625,870.1209716796875,812.7930297851562,123.89749908447266,1736.4871826171875,694.1439208984375,589.427734375,1963.7608642578125,361.5213317871094,1194.1219482421875,830.325927734375,364.8379211425781,1390.162109375,700.5899658203125,1953.9886474609375,1956.5157470703125,1194.8831787109375,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.23137256503105164,0.24705883860588074,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.23137256503105164,0.24705883860588074,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.004629094678554,18.08834184894279,1.0,0.007289025715320536,2.6666667461395264,7.51,11.5,0
